City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
76,Verkhoturye,RU,2022-06-09 02:14:42,58.8627,60.8054,50.7,99,100,9.8,moderate rain,0.0,0.0
77,Dabakala,CI,2022-06-09 02:14:42,8.3667,-4.4333,73.65,85,0,4.36,clear sky,0.0,0.0
78,Tasiilaq,GL,2022-06-09 02:14:43,65.6145,-37.6368,32.16,73,4,2.01,clear sky,0.0,0.0
79,Hithadhoo,MV,2022-06-09 02:14:43,-0.6,73.0833,82.2,73,99,2.06,overcast clouds,0.0,0.0
80,Barrancas,CO,2022-06-09 02:14:44,10.9576,-72.7877,73.96,94,54,3.58,broken clouds,0.0,0.0
81,Makueni,KE,2022-06-09 02:14:44,-1.8041,37.6203,57.43,94,82,1.61,broken clouds,0.0,0.0
82,San Policarpo,PH,2022-06-09 02:14:44,12.1791,125.5072,83.46,78,92,9.93,overcast clouds,0.0,0.0
83,Belle Fourche,US,2022-06-09 02:14:45,44.6714,-103.8522,65.5,56,100,6.02,overcast clouds,0.0,0.0
84,Hambantota,LK,2022-06-09 02:14:45,6.1241,81.1185,80.87,78,100,17.65,overcast clouds,0.0,0.0
85,Dongsheng,CN,2022-06-09 02:14:46,39.8161,109.9776,76.8,12,3,17.98,clear sky,0.0,0.0
86,Tazovskiy,RU,2022-06-09 02:14:46,67.4667,78.7,42.69,49,1,4.38,clear sky,0.0,0.0
87,Alihe,CN,2022-06-09 02:14:46,50.5667,123.7167,77.36,36,99,5.26,overcast clouds,0.0,0.0
88,Khatanga,RU,2022-06-09 02:14:47,71.9667,102.5,48.74,53,28,8.66,scattered clouds,0.0,0.0
89,Soyo,AO,2022-06-09 02:14:47,-6.1349,12.3689,72.79,92,76,3.13,broken clouds,0.0,0.0
90,Ahipara,NZ,2022-06-09 02:14:48,-35.1667,173.1667,59.4,81,100,17.63,overcast clouds,0.0,0.0
91,Cape Town,ZA,2022-06-09 02:14:48,-33.9258,18.4232,61.12,89,2,1.01,clear sky,0.0,0.0
92,Christchurch,NZ,2022-06-09 02:10:23,-43.5333,172.6333,57.47,62,100,3.44,overcast clouds,0.0,0.0
93,Orsha,BY,2022-06-09 02:14:49,54.5153,30.4053,61.79,82,93,6.73,overcast clouds,0.0,0.0
94,Ayagoz,KZ,2022-06-09 02:14:49,47.9714,80.4392,74.91,32,0,6.67,clear sky,0.0,0.0
95,Acapulco,MX,2022-06-09 02:14:49,16.8634,-99.8901,82.22,74,100,4.61,overcast clouds,0.0,0.0
96,Savannah Bight,HN,2022-06-09 02:14:50,16.45,-85.85,82.2,86,89,27.18,overcast clouds,0.0,0.0
97,Greensboro,US,2022-06-09 02:11:29,36.0726,-79.792,75.52,76,75,10.36,broken clouds,0.0,0.0
98,Bengkulu,ID,2022-06-09 02:14:50,-3.8004,102.2655,79.0,81,100,0.87,overcast clouds,0.0,0.0
99,Saint-Philippe,RE,2022-06-09 02:14:51,-21.3585,55.7679,65.79,78,94,13.42,overcast clouds,0.0,0.0
100,Tahta,EG,2022-06-09 02:14:51,26.7693,31.5021,83.16,26,0,3.36,clear sky,0.0,0.0
101,Mar Del Plata,AR,2022-06-09 02:11:23,-38.0023,-57.5575,47.08,66,15,10.16,few clouds,0.0,0.0
102,Saldanha,ZA,2022-06-09 02:14:52,-33.0117,17.9442,61.23,90,0,9.13,clear sky,0.0,0.0
103,Upernavik,GL,2022-06-09 02:14:52,72.7868,-56.1549,35.33,87,100,11.12,light snow,0.0,0.0
104,Igarka,RU,2022-06-09 02:14:53,67.4667,86.5833,45.18,45,6,7.49,clear sky,0.0,0.0
105,Russell,US,2022-06-09 02:14:53,32.3502,-85.1999,81.63,94,75,0.0,broken clouds,0.0,0.0
106,Mokrous,RU,2022-06-09 02:14:54,51.2333,47.5167,56.28,76,51,11.88,broken clouds,0.0,0.0
107,Castro,BR,2022-06-09 02:14:54,-24.7911,-50.0119,51.66,98,25,4.0,scattered clouds,0.0,0.0
108,Bani,DO,2022-06-09 02:14:54,18.2833,-70.3333,78.24,86,79,6.42,broken clouds,0.0,0.0
109,Bambous Virieux,MU,2022-06-09 02:14:55,-20.3428,57.7575,71.85,78,75,9.22,broken clouds,0.0,0.0
110,Windham,US,2022-06-09 02:14:55,41.8334,-72.0001,66.22,81,0,3.44,clear sky,0.0,0.0
111,Port Alfred,ZA,2022-06-09 02:14:56,-33.5906,26.891,64.18,51,1,4.0,clear sky,0.0,0.0
112,Kushima,JP,2022-06-09 02:14:56,31.4583,131.2333,75.79,73,100,5.73,overcast clouds,0.0,0.0
113,Wajir,KE,2022-06-09 02:14:57,1.7471,40.0573,73.2,77,100,9.31,overcast clouds,0.0,0.0
114,Saskylakh,RU,2022-06-09 02:14:57,71.9167,114.0833,62.2,59,14,10.78,few clouds,0.0,0.0
115,Yar-Sale,RU,2022-06-09 02:14:57,66.8333,70.8333,62.24,42,8,6.71,clear sky,0.0,0.0
116,Saint George,US,2022-06-09 02:14:58,37.1041,-113.5841,99.25,12,0,10.36,clear sky,0.0,0.0
117,Kahului,US,2022-06-09 02:14:58,20.8947,-156.47,86.02,48,40,19.57,scattered clouds,0.0,0.0
118,Port Hawkesbury,CA,2022-06-09 02:14:59,45.6169,-61.3485,59.97,90,100,5.01,moderate rain,0.0,0.0
119,Mount Gambier,AU,2022-06-09 02:14:59,-37.8333,140.7667,51.71,93,75,14.97,broken clouds,0.0,0.0
120,Lagoa,PT,2022-06-09 02:15:00,39.05,-27.9833,64.11,92,10,19.64,clear sky,0.0,0.0
121,Codrington,AU,2022-06-09 02:15:00,-38.2667,141.9667,53.56,76,99,18.66,overcast clouds,0.0,0.0
122,Springbok,ZA,2022-06-09 02:15:01,-29.6643,17.8865,51.26,39,0,2.84,clear sky,0.0,0.0
123,Roma,US,2022-06-09 02:12:15,43.2128,-75.4557,63.66,84,0,1.01,clear sky,0.0,0.0
124,Tura,IN,2022-06-09 02:15:01,25.5198,90.2201,74.98,97,100,6.8,heavy intensity rain,0.0,0.0
125,Limbe,CM,2022-06-09 02:15:02,4.0242,9.2149,75.65,90,100,1.25,overcast clouds,0.0,0.0
126,Bilibino,RU,2022-06-09 02:15:02,68.0546,166.4372,62.85,37,93,10.85,overcast clouds,0.0,0.0
127,Auki,SB,2022-06-09 02:15:02,-8.7676,160.7034,82.29,77,81,6.35,broken clouds,0.0,0.0
128,Taldan,RU,2022-06-09 02:15:03,53.6667,124.8,72.97,45,4,6.67,clear sky,0.0,0.0
129,Lebu,CL,2022-06-09 02:15:03,-37.6167,-73.65,52.41,90,100,6.38,overcast clouds,0.0,0.0
130,Grand Haven,US,2022-06-09 02:15:04,43.0631,-86.2284,59.43,81,100,5.75,overcast clouds,0.0,0.0
131,Clyde River,CA,2022-06-09 02:15:04,70.4692,-68.5914,32.23,93,100,8.05,overcast clouds,0.0,0.0
132,Calabozo,VE,2022-06-09 02:15:04,8.9242,-67.4293,77.36,67,49,5.26,scattered clouds,0.0,0.0
133,Watertown,US,2022-06-09 02:11:27,42.3709,-71.1828,70.07,68,0,4.61,clear sky,0.0,0.0
134,Setermoen,NO,2022-06-09 02:15:05,68.861,18.3486,43.43,87,19,1.41,few clouds,0.0,0.0
135,Cesme,TR,2022-06-09 02:15:05,38.3228,26.3064,64.11,88,0,0.0,clear sky,0.0,0.0
