City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Waitati,NZ,2022-06-07 01:41:57,-45.75,170.5667,56.8,52,50,6.53
124,Muros,ES,2022-06-07 01:41:58,42.7762,-9.0603,56.08,93,32,3.83
125,Cayenne,GF,2022-06-07 01:41:58,4.9333,-52.3333,76.08,1,75,1.14
126,Lompoc,US,2022-06-07 01:41:58,34.6391,-120.4579,71.02,71,0,31.0
127,Provideniya,RU,2022-06-07 01:41:59,64.3833,-173.3,41.11,75,0,6.71
128,Lasa,IT,2022-06-07 01:41:59,46.6166,10.7002,58.69,96,100,3.18
129,Pevek,RU,2022-06-07 01:42:00,69.7008,170.3133,34.66,81,94,5.44
130,Barrow,US,2022-06-07 01:42:00,71.2906,-156.7887,28.42,86,100,16.11
131,Naze,JP,2022-06-07 01:42:00,28.3667,129.4833,76.12,71,22,2.8
132,Andenes,NO,2022-06-07 01:42:01,69.3143,16.1194,40.98,81,75,20.71
133,Lavrentiya,RU,2022-06-07 01:42:01,65.5833,-171.0,41.7,70,99,3.09
134,Butaritari,KI,2022-06-07 01:42:02,3.0707,172.7902,81.43,76,1,11.86
135,Hovd,MN,2022-06-07 01:42:02,48.0056,91.6419,54.16,36,3,8.08
136,Normandin,CA,2022-06-07 01:42:03,48.8333,-72.5321,59.31,72,28,5.75
137,Abu Kamal,SY,2022-06-07 01:42:03,34.4506,40.9171,76.24,41,0,10.4
138,Mehamn,NO,2022-06-07 01:43:03,71.0357,27.8492,48.11,85,100,21.18
139,Hohoe,GH,2022-06-07 01:43:04,7.1518,0.4736,72.54,95,100,3.09
140,Skibbereen,IE,2022-06-07 01:43:04,51.55,-9.2667,52.11,96,54,5.68
141,Digby,CA,2022-06-07 01:43:05,44.6169,-65.7655,53.58,88,1,2.71
142,Guararapes,BR,2022-06-07 01:38:40,-21.2608,-50.6428,69.46,38,28,8.5
143,Almaznyy,RU,2022-06-07 01:43:05,48.0448,40.045,54.25,86,0,6.02
144,Kodiak,US,2022-06-07 01:43:06,57.79,-152.4072,54.91,67,0,10.36
145,Kochubey,RU,2022-06-07 01:43:06,44.3861,46.5825,69.82,65,100,8.81
146,Kapaa,US,2022-06-07 01:43:06,22.0752,-159.319,80.58,78,20,11.5
147,Shieli,KZ,2022-06-07 01:43:07,44.1667,66.75,82.63,20,1,5.23
148,Taoudenni,ML,2022-06-07 01:43:07,22.6783,-3.9836,92.79,8,6,1.9
149,Utete,TZ,2022-06-07 01:43:07,-7.986,38.758,69.24,91,98,2.28
150,Atuona,PF,2022-06-07 01:43:08,-9.8,-139.0333,77.97,74,15,14.23
151,Sombrerete,MX,2022-06-07 01:43:08,23.6333,-103.65,72.68,29,100,4.36
152,Dunedin,NZ,2022-06-07 01:39:29,-45.8742,170.5036,57.79,49,57,1.01
153,Ferrol,ES,2022-06-07 01:43:09,43.4832,-8.2369,58.68,85,17,7.31
154,Oistins,BB,2022-06-07 01:43:09,13.0667,-59.5333,80.69,83,75,21.85
155,Maketu,NZ,2022-06-07 01:43:10,-37.7667,176.45,66.02,93,60,8.97
156,Pangkalanbuun,ID,2022-06-07 01:43:10,-2.6833,111.6167,81.93,77,90,2.73
157,Cuiluan,CN,2022-06-07 01:43:10,47.72,128.648,72.21,37,0,4.72
158,Sao Miguel Do Araguaia,BR,2022-06-07 01:43:11,-13.275,-50.1628,70.86,48,1,3.29
159,Alofi,NU,2022-06-07 01:43:11,-19.0595,-169.9187,80.49,78,75,13.8
160,Lebu,CL,2022-06-07 01:43:12,-37.6167,-73.65,52.16,87,100,17.67
161,Puerto Leguizamo,CO,2022-06-07 01:43:12,-0.1934,-74.7819,71.55,97,21,1.66
162,Nurota,UZ,2022-06-07 01:43:12,40.5614,65.6886,80.24,17,0,6.06
163,Demidov,RU,2022-06-07 01:43:13,55.2706,31.515,49.44,77,100,2.06
