City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Clifton,US,75.11,clear sky,40.8584,-74.1638,Quality Urban Housing
539,Cururupu,BR,75.15,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
544,Muisne,EC,75.31,overcast clouds,0.6,-80.0333,Quinta Samay
545,Abu Dhabi,AE,85.96,clear sky,24.4667,54.3667,Beach Rotana
552,Sulangan,PH,84.15,overcast clouds,11.1373,123.7228,Maia's Beach Resort
556,Melilla,ES,82.78,clear sky,35.2937,-2.9383,Hotel Anfora
558,Pochutla,MX,75.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
559,Tuyen Quang,VN,82.89,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
563,Gizo,SB,82.56,overcast clouds,-8.103,156.8419,Imagination Island
568,Atasu,KZ,77.85,overcast clouds,48.6814,71.6433,Dostyk
571,Urucui,BR,78.24,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
576,Puerto El Triunfo,SV,78.55,overcast clouds,13.2833,-88.55,Hotel Jardin
577,Dwarka,IN,83.86,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
578,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
585,Riohacha,CO,81.32,scattered clouds,11.5444,-72.9072,Hotel Taroa
586,Qinzhou,CN,84.99,moderate rain,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
592,Panama City,PA,80.55,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
596,Lazaro Cardenas,MX,78.57,few clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
598,Iralaya,HN,80.35,overcast clouds,15.0,-83.2333,Iglesia morava renovada
601,Mahibadhoo,MV,81.79,broken clouds,3.7833,72.9667,Omadhoo Inn
608,Mitsamiouli,KM,77.5,clear sky,-11.3847,43.2844,Foyer ADM
610,Mims,US,76.33,clear sky,28.6653,-80.8448,Intercoastal Estates
611,Leninskoye,KZ,80.24,clear sky,41.7589,69.3864,Leonid Rakhmanov
612,Sisophon,KH,86.94,overcast clouds,13.5859,102.9737,Pyramid Hotel
613,Buala,SB,83.59,light rain,-8.145,159.5921,Maringe Lagoon Lodge
618,Jangaon,IN,87.3,few clouds,17.7167,79.1833,Gabbeta real estate
621,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
622,Bilma,NE,87.78,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
624,Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
625,Vanimo,PG,84.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
626,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
627,Si Sa Ket,TH,88.88,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
629,Narasannapeta,IN,86.59,overcast clouds,18.4167,84.05,AVK events and catering
634,Ryuo,JP,78.19,scattered clouds,35.65,138.5,シャレーワシントン
636,Sinnamary,GF,77.76,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
638,Shitanjing,CN,78.08,scattered clouds,39.2342,106.3439,Yingbin Hotel
640,Ibra,OM,80.31,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
641,Conakry,GN,80.83,light rain,9.538,-13.6773,Riviera Royal Hotel
643,Kilindoni,TZ,78.22,light rain,-7.9139,39.6668,Bustani B&B
647,Rantepao,ID,79.39,broken clouds,-2.9701,119.8978,Hotel Luta Resort
652,Aksu,CN,80.53,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
653,Sabang,ID,82.54,overcast clouds,5.8933,95.3214,Hotel Citra
655,Bijapur,IN,78.26,overcast clouds,16.8333,75.7,Rajdhani Lodge
656,Rajmahal,IN,89.29,very heavy rain,25.05,87.8333,Marrage hall (विवाह भवन)
657,Eydhafushi,MV,81.41,few clouds,5.1033,73.0708,Soneva Fushi
658,Morehead,US,76.75,clear sky,37.2711,-87.1764,CCI Express Inn
662,Huangchuan,CN,89.55,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
663,Salinopolis,BR,78.24,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
671,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
673,Akyab,MM,81.93,overcast clouds,20.15,92.9,Hotel Memory
675,Balsas,BR,76.26,broken clouds,-7.5325,-46.0356,Novo Hotel
677,Tanete,ID,83.73,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
682,Sibu,MY,79.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
684,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
687,Phan Thiet,VN,85.86,scattered clouds,10.9333,108.1,Hotel Saigon-PT
690,Numaran,MX,75.51,overcast clouds,20.25,-101.9333,La Conquista La Piedad
691,Bari Sadri,IN,83.82,clear sky,24.4167,74.4667,Durga Auto and vishvkarma service badisadri rajasthan
693,Ono,JP,78.28,scattered clouds,34.85,134.9333,オーラ 小野店
695,Sampit,ID,78.49,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
